Name           Student No   Average   Status
--------------------------------------------
Selver         102          89.6      Passed
Oğuz           105          58.2      Passed
Eren           111          65.6      Passed
Esma           134          61.4      Passed
Osman          144          21.6      Failed
İhsan          112          57.2      Passed
Oğuz           105          62.2      Passed
Polat          117          52.8      Passed
Mert           123          64.8      Passed
Yusuf          124          79.0      Passed
Zübeyde        127          70.6      Passed
Esma           134          61.4      Passed
Osman          144          21.6      Failed
Mehmet         156          59.0      Passed
Safiye         166          65.0      Passed
Hasan          174          47.6      Failed
Arda           178          64.0      Passed
Mustafa        210          54.4      Passed
İbrahim        216          79.6      Passed
Ahmed          222          35.4      Failed
Ela            225          19.8      Failed
Leyla          226          40.4      Failed
Nuri           230          36.2      Failed
Neşe           231          71.4      Passed
Kadir          237          56.0      Passed
Yasin          246          85.2      Passed
Zeliha         254          61.4      Passed
Salim          255          95.0      Passed
Emre           258          62.0      Passed
İdris          261          65.2      Passed
Elif           275          72.2      Passed
İrfan          291          58.0      Passed
Nuriye         297          46.4      Failed
Doruk          303          67.0      Passed
Yavuz          313          73.2      Passed
Furkan         321          57.0      Passed
Selin          326          61.4      Passed
İhsan          327          81.0      Passed
Melike         330          61.8      Passed
İsmail         334          60.0      Passed
Polat          340          100.0     Passed
Semih          342          55.6      Passed
Betül          354          65.0      Passed
Mahmut         363          46.4      Failed
Mehmet         376          69.6      Passed
Emir           377          54.4      Passed
Esma           379          59.8      Passed
Salih          384          9.0       Failed
Nazlı          392          49.8      Failed
Ayça           393          47.0      Failed
Ceylan         394          29.0      Failed
Osman          398          51.4      Passed
Veli           421          52.0      Passed
Derya          422          90.4      Passed
Fatma          423          54.0      Passed
Veli           432          70.2      Passed
Yunus          455          66.4      Passed
Hakkı          457          48.6      Failed
Pırıl          458          50.0      Passed
Gizemsu        460          20.0      Failed
Safinaz        468          32.6      Failed
Bilge          472          43.2      Failed
Berkay         475          53.8      Passed
Hüsnü          480          42.8      Failed
Sedef          486          74.6      Passed
Arda           504          62.8      Passed
Belgin         531          56.0      Passed
İlker          533          56.8      Passed
Harun          532          43.4      Failed
Muhammed       543          55.8      Passed
Hasan          544          35.4      Failed
Ümit           545          70.4      Passed
Zeki           547          40.6      Failed
İdris          555          62.4      Passed
Edanur         560          90.0      Passed
Gamze          573          62.0      Passed
Hayri          586          34.2      Failed
Eyşan          602          55.0      Passed
Meryem         608          73.8      Passed
Dilek          627          51.6      Passed
Mehtap         648          42.8      Failed
Ali            650          73.2      Passed
Akif           656          61.0      Passed
Erdem          677          78.0      Passed
Beytullah      682          70.0      Passed
Gizem          683          54.4      Passed
Osman          685          59.0      Passed
Ertuğrul       686          70.6      Passed
Emre           695          19.6      Failed
Mehmet Ali     723          48.8      Failed
Adem           725          49.0      Failed
Alara          726          56.2      Passed
Mehmet         769          63.4      Passed
Aydın          784          63.0      Passed
Galip          785          72.6      Passed
Uğur           789          60.6      Passed
Damla          808          75.0      Passed
Hilmi          828          22.4      Failed
Elif           835          34.6      Failed
Salih          845          46.2      Failed
Maraz Ali      846          48.4      Failed
Ömer           848          67.2      Passed
Temel          863          54.0      Passed
Kaan           889          33.2      Failed
Büşra          892          40.8      Failed
Yavuz          902          45.4      Failed
Güliz          905          45.8      Failed
Sümeyye        908          73.4      Passed
Abdulhey       925          56.6      Passed
Arda           928          31.4      Failed
Selim          929          50.6      Passed
Ceylan         948          39.8      Failed
Reyhan         954          53.4      Passed
Özcan          958          61.6      Passed
Jale           961          65.8      Passed
Ezel           962          55.2      Passed
Berk           963          75.2      Passed
Ayşe           964          51.8      Passed
Hüseyin        982          76.4      Passed
Çakır          983          72.8      Passed
Gizem          998          42.4      Failed
Ali            999          42.0      Failed
